iter	Logloss
0	0.6732634277
1	0.6549564209
2	0.636944458
3	0.6214458008
4	0.6070219727
5	0.5921306152
6	0.5784419556
7	0.5658549194
8	0.5529310913
9	0.5432056885
10	0.53284729
11	0.5220897217
12	0.511850769
13	0.5022765503
14	0.4935751953
15	0.4871687012
16	0.480194397
17	0.4726367188
18	0.4657463684
19	0.4593738403
20	0.4543095093
21	0.449543335
22	0.4440773315
23	0.4390895386
24	0.434624939
25	0.4296231995
26	0.4252135315
27	0.4210697021
28	0.4176859741
29	0.4146737366
30	0.4123002014
31	0.4085760498
32	0.4057133179
33	0.403243988
34	0.4009260254
35	0.3990840759
36	0.3960605469
37	0.3939732361
38	0.3916074829
39	0.3897134399
40	0.3879191284
41	0.3856499634
42	0.3842501831
43	0.3823605347
44	0.3808156128
45	0.3789295654
46	0.3771226807
47	0.3757445679
48	0.3741966553
49	0.37325354
50	0.3722614136
51	0.3713356323
52	0.3697609253
53	0.3684235535
54	0.3676769409
55	0.3668369751
56	0.3662588806
57	0.3651742249
58	0.3641933594
59	0.3636443481
60	0.3630242615
61	0.3622750549
62	0.3614576721
63	0.3606958618
64	0.3600447388
65	0.3594737549
66	0.3588999023
67	0.3582452393
68	0.357706543
69	0.357107666
70	0.3565117798
71	0.3559745789
72	0.355472229
73	0.3548544617
74	0.3542960815
75	0.3539949951
76	0.3536620178
77	0.3532333984
78	0.3527890015
79	0.3524688416
80	0.3520639343
81	0.3515889587
82	0.3510550537
83	0.3507237244
84	0.3501765747
85	0.3496896362
86	0.3493247986
87	0.3489902039
88	0.3486395874
89	0.3482768555
90	0.3480561829
91	0.3477607422
92	0.3475022583
93	0.3470107422
94	0.3466975098
95	0.346137146
96	0.3458416748
97	0.3455516663
98	0.3450806274
99	0.3447167053
100	0.3444437866
101	0.3440501709
102	0.3437772827
103	0.3432371216
104	0.3430273743
105	0.342862793
106	0.342449707
107	0.3421641235
108	0.3419315186
109	0.3418658447
110	0.341625946
111	0.3414104309
112	0.3411529541
113	0.3408968201
114	0.3407047119
115	0.3404089661
116	0.3402730408
117	0.3399558716
118	0.339776825
119	0.3395684814
120	0.3393937988
121	0.3390226135
122	0.3387627258
123	0.3386190186
124	0.338395874
125	0.3382148437
126	0.3380729675
127	0.3377330933
128	0.337421875
129	0.3372175903
130	0.3370351563
131	0.3368752136
132	0.3367798767
133	0.3364560547
134	0.3361805725
135	0.335998291
136	0.335776001
137	0.3356394653
138	0.3354275513
139	0.3352182922
140	0.3350527039
141	0.3349219971
142	0.3348366394
143	0.334673584
144	0.334494873
145	0.3343016357
146	0.3340905151
147	0.3339558105
148	0.3337160034
149	0.3335075989
150	0.3332553101
151	0.3331261292
152	0.3329918823
153	0.3328706665
154	0.3327203369
155	0.3324692383
156	0.3324083862
157	0.3321966858
158	0.3320042114
159	0.3319707031
160	0.3318684082
161	0.3317383423
162	0.3314805298
163	0.3313858643
164	0.3312937317
165	0.3311856995
166	0.331034729
167	0.3308802795
168	0.3306707764
169	0.3305329285
170	0.3304229736
171	0.3302519531
172	0.330107605
173	0.3299307251
174	0.3297738342
175	0.3295793457
176	0.3294514771
177	0.3292877197
178	0.3291345825
179	0.3290665894
180	0.3288870239
181	0.3286884155
182	0.3285662231
183	0.3284061584
184	0.3282524414
185	0.3280907898
186	0.3278756714
187	0.3277575989
188	0.3276759033
189	0.3275185547
190	0.3273763123
191	0.3272492065
192	0.3271270142
193	0.3269344177
194	0.3267267456
195	0.3265070496
196	0.3263280945
197	0.3261964722
198	0.3260928955
199	0.3259712219
200	0.3258284302
201	0.32571875
202	0.325600769
203	0.3254574585
204	0.3252798462
205	0.3251672363
206	0.3250866089
207	0.3250003052
208	0.3248851929
209	0.3247226563
210	0.3246008301
211	0.3244406738
212	0.3243089294
213	0.3241387024
214	0.3240420227
215	0.3238470459
216	0.3236404419
217	0.3235423584
218	0.3234425659
219	0.3233564758
220	0.3232199097
221	0.3231095276
222	0.3230131226
223	0.3228572998
224	0.3227302246
225	0.3225185852
226	0.3224746704
227	0.3223516846
228	0.3222304687
229	0.3221329346
230	0.3220310669
231	0.321913208
232	0.3218058777
233	0.321621521
234	0.3214735413
235	0.3214199829
236	0.3213478699
237	0.3212626343
238	0.321161377
239	0.321081604
240	0.3209837036
241	0.3208051758
242	0.3207420959
243	0.3206451111
244	0.3205146484
245	0.3204465637
246	0.3203263245
247	0.3202189331
248	0.32010495
249	0.3199819946
250	0.3198927612
251	0.3198257446
252	0.3197374268
253	0.3196665039
254	0.3195275269
255	0.3194338074
256	0.3192914124
257	0.3191923828
258	0.3190656433
259	0.3189567261
260	0.3188486938
261	0.31870047
262	0.3185354919
263	0.3184367371
264	0.3183148804
265	0.3182631836
266	0.3180808716
267	0.3179667969
268	0.3178590698
269	0.3177138672
270	0.3175766602
271	0.3175192871
272	0.3174171143
273	0.317272583
274	0.317093689
275	0.3169700623
276	0.3168675537
277	0.3167697449
278	0.3166784668
279	0.316525177
280	0.3164822388
281	0.3163824768
282	0.316338562
283	0.3162542725
284	0.3161789246
285	0.3160687256
286	0.3159291382
287	0.3158707275
288	0.3157514343
289	0.3156616211
290	0.3155677795
291	0.3155283813
292	0.3154713745
293	0.3153222656
294	0.3151889648
295	0.3151426392
296	0.315020752
297	0.3149674072
298	0.3148074951
299	0.3147345886
300	0.314649292
301	0.3145115356
302	0.3143700867
303	0.3141878967
304	0.3140516968
305	0.3138960571
306	0.3137315369
307	0.3136212158
308	0.3134895935
309	0.3133482666
310	0.3132311401
311	0.3131338501
312	0.3130947876
313	0.3130072632
314	0.3129125061
315	0.3128013306
316	0.3127177734
317	0.3126576538
318	0.3125464783
319	0.3124299927
320	0.3123164978
321	0.3122345581
322	0.3121235352
323	0.3120414429
324	0.3119494934
325	0.3117949219
326	0.3116925659
327	0.3115869141
328	0.3115354919
329	0.3114377441
330	0.3113916016
331	0.3113458862
332	0.3112773132
333	0.3111525269
334	0.3110286865
335	0.3109386902
336	0.3108306885
337	0.3107399292
338	0.3106186523
339	0.3104772034
340	0.3103848267
341	0.3101932373
342	0.310117981
343	0.3100207214
344	0.3098605042
345	0.3097929077
346	0.3096539917
347	0.3095980835
348	0.3094886169
349	0.3092357788
350	0.309170166
351	0.3090765991
352	0.3089555359
353	0.3088203125
354	0.3086529846
355	0.3085273132
356	0.3084289856
357	0.3083325806
358	0.308280426
359	0.3081660767
360	0.3080878296
361	0.3080142212
362	0.3079111328
363	0.3078543701
364	0.307766571
365	0.3076451111
366	0.3074876709
367	0.307333374
368	0.3071933899
369	0.3071392822
370	0.3070428467
371	0.306945282
372	0.3068165283
373	0.3067376709
374	0.3066680603
375	0.3065990601
376	0.3065102844
377	0.3063265991
378	0.3061903076
379	0.3060785828
380	0.3060227661
381	0.3059064941
382	0.3057990723
383	0.3057225342
384	0.305597168
385	0.3055387573
386	0.3054100647
387	0.3052700195
388	0.3051925049
389	0.3050732422
390	0.3050081787
391	0.304890686
392	0.304842926
393	0.3047238464
394	0.3046063538
395	0.3044959717
396	0.3043691406
397	0.3043129578
398	0.3042219238
399	0.3041445923
400	0.3040221863
401	0.3039112549
402	0.3038119812
403	0.3037112427
404	0.3036352234
405	0.3035218506
406	0.3033144531
407	0.3032665405
408	0.3031001587
409	0.3029959412
410	0.3028397217
411	0.3027217102
412	0.3025851135
413	0.3024631958
414	0.3023639221
415	0.3022501526
416	0.3021486206
417	0.3020579224
418	0.3019644775
419	0.3018829956
420	0.3017913513
421	0.3017557068
422	0.3016574097
423	0.3015157776
424	0.3013755188
425	0.3011933899
426	0.301091156
427	0.300980896
428	0.300847229
429	0.3007357178
430	0.3006066589
431	0.3005084229
432	0.3004151001
433	0.3003279114
434	0.3002097473
435	0.300130127
436	0.2999987183
437	0.2998748779
438	0.2997860413
439	0.2996857605
440	0.2995799255
441	0.2994837646
442	0.2993911133
443	0.2992858582
444	0.2991777649
445	0.2990411377
446	0.2989546204
447	0.2988667297
448	0.2987790222
449	0.2986749268
450	0.2985580444
451	0.2984779053
452	0.2983575439
453	0.2981913452
454	0.2981120605
455	0.2980708618
456	0.2979893799
457	0.2978794861
458	0.2978109741
459	0.2976989746
460	0.2975945129
461	0.2975007935
462	0.2974231567
463	0.297315979
464	0.2972172241
465	0.2970852661
466	0.2969857178
467	0.2968848877
468	0.2967672729
469	0.296656311
470	0.2965609131
471	0.2964456177
472	0.2963735046
473	0.296277771
474	0.2961873474
475	0.2960657654
476	0.2959263306
477	0.2957713318
478	0.2957009888
479	0.2955956421
480	0.2954974976
481	0.2954268494
482	0.295351532
483	0.2952540283
484	0.2951357422
485	0.295024292
486	0.2949307251
487	0.2948564453
488	0.294755249
489	0.2946663208
490	0.2945652771
491	0.2944022217
492	0.2943266602
493	0.2942310181
494	0.2941154785
495	0.2940420837
496	0.2939226685
497	0.2938259277
498	0.2937574463
499	0.2936659851
500	0.2935716553
501	0.2934860229
502	0.2934215088
503	0.2933320923
504	0.293244812
505	0.293166687
506	0.2930338745
507	0.2929776611
508	0.2928781128
509	0.2927357788
510	0.2925841064
511	0.2924463806
512	0.29231073
513	0.2922046204
514	0.2921197815
515	0.2920096436
516	0.2918981628
517	0.2917584839
518	0.2916658936
519	0.2915815125
520	0.2915133057
521	0.2914380798
522	0.2913331604
523	0.2912463074
524	0.2911471252
525	0.2910648193
526	0.2909614868
527	0.2908532104
528	0.2907795715
529	0.2906918335
530	0.2905675659
531	0.2904603271
532	0.2903918457
533	0.2903055115
534	0.2902312622
535	0.2901178894
536	0.2900253296
537	0.2899176025
538	0.2898060913
539	0.2897026672
540	0.2896322327
541	0.289565155
542	0.2894846191
543	0.2893948364
544	0.2892902527
545	0.289213623
546	0.2891174316
547	0.2890036926
548	0.2888882141
549	0.2888174744
550	0.288750946
551	0.2886688232
552	0.2885548706
553	0.2884429932
554	0.2882759399
555	0.2882261963
556	0.2881459656
557	0.2880445862
558	0.2879630432
559	0.2878299561
560	0.287741272
561	0.287609314
562	0.2874610901
563	0.287333374
564	0.2872367554
565	0.2871658325
566	0.2870541077
567	0.2869650574
568	0.2868734131
569	0.2868215637
570	0.2867593384
571	0.286701416
572	0.2866624756
573	0.2865140381
574	0.2864422607
575	0.2863707581
576	0.2862890625
577	0.2862198792
578	0.2861034546
579	0.2860257568
580	0.2859560852
581	0.2858929443
582	0.285795166
583	0.2857280884
584	0.2856398315
585	0.2855624084
586	0.2854732666
587	0.2853887634
588	0.28525
589	0.2851546326
590	0.2850583801
591	0.2849854126
592	0.2849197388
593	0.2848320313
594	0.284723114
595	0.2846621094
596	0.284546936
597	0.2844693604
598	0.2843920288
599	0.28422229
600	0.2841013794
601	0.2840079956
